Label,Parent,/Geometry/Area
1,,74.1956
2,,64.7888
3,,120.12
4,,64.883
5,,83.6778
6,,54.1554
7,,51.6807
8,,46.3782
9,,64.1704
10,,81.1493
11,,55.1384
12,,49.0432
13,,124.442
14,,58.9689
15,,27.6206
16,,74.5354
17,,79.1049
18,,105.887
19,,94.663
20,,47.699
21,,53.9444
23,,86.6815
24,,116.557
25,,102.994
26,,87.6861
27,,89.3304
28,,131.777
29,,47.0256
30,,36.402
31,,75.9565
32,,31.4162
33,,44.2431
34,,35.9915
35,,17.0737
36,,49.2178
37,,82.9334
38,,88.0165
39,,113.602
40,,107.771
41,,72.8445
42,,58.1657
43,,66.6957
44,,48.9156
45,,99.6776
46,,117.163
47,,123.522
48,,135.895
49,,101.612
50,,70.6392
51,,105.338
52,,110.372
53,,110.443
54,,115.751
55,,92.2825
56,,113.411
72903,,487.294
72904,,101.108
72905,,1376.91
